Text;ADJ;ADVB;INTJ;NOUN;PREP;VERB
входит брат бертольд;0.0;0.0;0.0;0.6666666666666666;0.0;0.3333333333333333
бертольд и франц;0.0;0.0;0.0;0.6666666666666666;0.0;0.0
входит мартын;0.0;0.0;0.0;0.5;0.0;0.5
расходятся в разные стороны;0.25;0.0;0.0;0.25;0.25;0.25
почесывается;0.0;0.0;0.0;0.0;0.0;1.0
берта и клотильда;0.0;0.0;0.0;0.6666666666666666;0.0;0.0
входят альбер, ротенфельд и франц;0.0;0.0;0.0;0.5;0.0;0.16666666666666666
уходит;0.0;0.0;0.0;0.0;0.0;1.0
франц медлит;0.0;0.0;0.0;0.5;0.0;0.5
замахивается;0.0;0.0;0.0;0.0;0.0;1.0
толкает его в спину;0.0;0.0;0.0;0.25;0.25;0.25
стучится;0.0;0.0;0.0;0.0;0.0;1.0
выходит;0.0;0.0;0.0;0.0;0.0;1.0
про себя;0.0;0.0;0.0;0.0;0.5;0.0
франц уходит;0.0;0.0;0.0;0.5;0.0;0.5
вассалы, вооруженные косами и дубинами;0.16666666666666666;0.0;0.0;0.5;0.0;0.0
франц с частью вассалов скрывается за лес;0.0;0.14285714285714285;0.0;0.42857142857142855;0.2857142857142857;0.14285714285714285
поют;0.0;0.0;0.0;0.0;0.0;1.0
несколько рыцарей, между ими альбер и ротенфельд;0.0;0.125;0.0;0.375;0.125;0.0
вассалы сымают шляпы и не трогаются;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333
лошади раненые падают с седоками, другие бесятся;0.25;0.0;0.0;0.25;0.125;0.25
бросается из засады;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333
другому;1.0;0.0;0.0;0.0;0.0;0.0
сражение. все рыцари падают один за другим;0.375;0.0;0.0;0.25;0.125;0.125
бьют их дубинами, косами;0.0;0.0;0.0;0.4;0.0;0.2
едет другая толпа рыцарей;0.25;0.0;0.0;0.5;0.0;0.25
наехавшие рыцари нападают на вассалов;0.0;0.0;0.0;0.4;0.2;0.2
разбегаются;0.0;0.0;0.0;0.0;0.0;1.0
"он ранен; рыцарь хватает его за ворот";0.125;0.0;0.0;0.25;0.125;0.125
лежащие рыцари встают один за другим;0.3333333333333333;0.0;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666
все смеются;0.5;0.0;0.0;0.0;0.0;0.5
садятся;0.0;0.0;0.0;0.0;0.0;1.0
рыцари ужинают;0.0;0.0;0.0;0.5;0.0;0.5
пьет;0.0;0.0;0.0;0.0;0.0;1.0
поет;0.0;0.0;0.0;0.0;0.0;1.0
восклицанья;0.0;0.0;0.0;1.0;0.0;0.0
в чрезвычайном смущении;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0
франца уводят;0.0;0.0;0.0;0.5;0.0;0.5
"театр представляет гостиную не богатого, но и не бедного чиновника. направо два окна; между окнами зеркало; столик перед зеркалом. прямо дверь в переднюю, налево дверь в другую комнату. спереди тоже налево диван, круглый стол и несколько кресел; угол направо отгорожен зелеными ширмами. на диване лежит стратилат. стенные часы бьют два часа";0.12903225806451613;0.12903225806451613;0.0;0.3064516129032258;0.08064516129032258;0.04838709677419355
молчит;0.0;0.0;0.0;0.0;0.0;1.0
опять молчит;0.0;0.5;0.0;0.0;0.0;0.5
посвистывает, берет со стола и развертывает книгу;0.0;0.0;0.0;0.25;0.125;0.375
начинает разбирать по складам;0.0;0.0;0.0;0.25;0.25;0.5
в передней раздается звонок. стратилат поднимается, но не выпускает книги из рук;0.07142857142857142;0.0;0.0;0.2857142857142857;0.14285714285714285;0.21428571428571427
опять звонок;0.0;0.5;0.0;0.5;0.0;0.0
бросает книгу на стол и бежит отворять;0.0;0.0;0.0;0.2857142857142857;0.14285714285714285;0.42857142857142855
"входит. у него под мышкой голова сахару; в одной руке бутылка, в другой дамский картон";0.16666666666666666;0.0;0.0;0.3333333333333333;0.2222222222222222;0.05555555555555555
указывая ему шеей и плечом на сахарную голову;0.125;0.0;0.0;0.375;0.125;0.0
стратилат достает голову. мошкин идет на авансцену. стратилат хочет идти;0.0;0.0;0.0;0.4166666666666667;0.08333333333333333;0.3333333333333333
ставит картон и бутылку на стол и вынимает из заднего кармана пакет;0.08333333333333333;0.0;0.0;0.4166666666666667;0.16666666666666666;0.16666666666666666
помолчав немного;0.0;0.5;0.0;0.0;0.0;0.0
уходит;0.0;0.0;0.0;0.0;0.0;1.0
ощупываясь;0.0;0.0;0.0;0.0;0.0;0.0
вынимая из кармана завернутую стклянку;0.0;0.0;0.0;0.4;0.2;0.0
кладет стклянку на стол;0.0;0.0;0.0;0.5;0.25;0.25
глядит на часы;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333
опять глядит на часы;0.0;0.25;0.0;0.25;0.25;0.25
опуская руку в боковой карман;0.0;0.0;0.0;0.6;0.2;0.0
ходит по комнате;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333
входят и стратилат. мошкин живо обращается к ним;0.0;0.1111111111111111;0.0;0.2222222222222222;0.1111111111111111;0.2222222222222222
маланье;0.0;0.0;0.0;1.0;0.0;0.0
подавая ей со стола бутылку;0.0;0.0;0.0;0.4;0.2;0.0
маланья уходит;0.0;0.0;0.0;0.5;0.0;0.5
